model,test_animal_accuracy,test_non_animal_accuracy,test_accuracy,pytorch_size_kb,onnx_size_kb
GuessMostFrequent,0.0,1.0,0.5,0.0,0.0
YOLOv8n-CLS,0.376,0.961,0.6685,5563.076,10905.376
CNN Medium,0.963,0.961,0.962,2193.991,
CNN YOLOv8n-sized,0.983,0.964,0.9735,5568.327,
CNN Small,0.904,0.923,0.9135,414.387,
YOLOv8n-CLS Fine-tuned,0.997,0.999,0.998,2963.08,5773.222
YOLO Dynamic Quantized UINT8,0.987,0.994,0.9905,,1508.509
YOLO Static Quantized UINT8,0.471,0.991,0.731,,1551.385
YOLO Static Quantized UINT4,0.0,1.0,0.5,,834.365
YOLO Static Quantized UINT16,0.997,0.997,0.997,,2985.467
YOLO QAT,0.999,0.996,0.9975,1586.191,
YOLO 70% pruned,0.147,0.968,0.5575,2784.023,
YOLO 90% pruned,0.022,0.996,0.509,928.301,
YOLO QAT Pruned 90%,0.998,0.189,0.5935,188.085,
YOLO QAT Pruned 70%,0.978,0.974,0.976,412.114,
YOLO QAT Pruned 50%,0.965,0.996,0.9805,628.119,
YOLO QAT Pruned 30%,0.999,0.986,0.9925,832.886,
YOLO Pico,0.109,0.985,0.547,442.0,
YOLO Pico Distilled,0.053,0.997,0.525,442.0,
YOLO Pico Distilled,0.053,0.997,0.525,442.0,
