model,method,note,test_animal_accuracy,test_non_animal_accuracy,test_accuracy,pytorch_size_kb,onnx_size_kb,size_kb
CNN Small,Baseline CNN,,0.9232044199,0.7973815461,0.8640890451,414.018,,414.018
CNN Medium,Baseline CNN,,0.90221,0.938279,0.919156,2193.746,,2193.746
CNN YOLOv8n-sized,Baseline CNN,,0.8701657459,0.9357855362,0.9009958992,5414.498,,5414.498
YOLOv8n-CLS Fine-tuned,Baseline YOLOv8n,,0.9872928177,0.9950124688,0.9909197422,,5773.233,5773.233
YOLO Static Quantized UINT4,Quant Static,4bit,1,0,0.5301698887,,834.379,834.379
YOLO Static Quantized UINT8,Quant Static,8bit,0.8337016575,0.9569825436,0.8916227299,,1551.399,1551.399
YOLO Static Quantized UINT16,Quant Static,16bit,0.9668508287,0.99375,0.9794721408,2985.48,,2985.48
YOLO Dynamic Quantized UINT4,Quant Dynamic,4bit,0.945304,0.7625,0.8594171763,791.496,,791.496
YOLO Dynamic Quantized UINT8,Quant Dynamic,8bit,0.9453038674,0.9943890274,0.9683655536,,1508.519,1508.519
YOLOv8n-CLS Fine-tuned Float16,Quant Dynamic,16bit,0.9872928177,0.9950124688,0.9909197422,2962.497,,2962.497
YOLO 60% pruned,Pruning,40%,0.8392265193,0.8640897756,0.8509080258,2900.882,,2900.882
YOLO 70% pruned,Pruning,50%,0.2944751381,0.9912718204,0.6218512009,2784.204,,2784.204
YOLO 80% pruned,Pruning,60%,0.4220994475,0.7905236908,0.5951962507,2106.024,,2106.024
YOLO 90% pruned,Pruning,80%,0.7331491713,0.4177057357,0.5849443468,929.25,,929.25
YOLO QAT,QAT+Pruning,0%,0.9895027624,0.996882793,0.992970123,1585.674,,1585.674
YOLO QAT Pruned 30%,QAT+Pruning,30%,0.9629834254,0.9943890274,0.9777387229,850.456,,850.456
YOLO QAT Pruned 50%,QAT+Pruning,50%,0.9541436464,0.9900249377,0.9710017575,642.448,,642.448
YOLO QAT Pruned 70%,QAT+Pruning,70%,0.9309392265,0.9763092269,0.9522554189,414.577,,414.577
YOLO QAT Pruned 90%,QAT+Pruning,90%,0.9193370166,0.7942643392,0.8605741066,185.301,,185.301
YOLO Pico,QAT+Distill,,0.9342541436,0.966957606,0.949619215,370,,370
YOLO Pico Distilled,QAT+Distill,,0.9541436464,0.9788029925,0.9657293497,370,,370
MobileNetV2,Baseline MobileNetV2,,,,0.98499,,,4384.64
