epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,229.786,0.25044,0.9895,1,0.0384,0.000237524,0.000237524,0.000237524
2,461.747,0.07585,0.9945,1,0.01629,0.000428447,0.000428447,0.000428447
3,695.786,0.06658,0.994,1,0.02265,0.000572246,0.000572246,0.000572246
4,926.952,0.04328,0.9955,1,0.01643,0.000501942,0.000501942,0.000501942
5,1157.43,0.04135,0.998,1,0.00923,0.000431256,0.000431256,0.000431256
6,1387.93,0.0329,0.998,1,0.00677,0.00036057,0.00036057,0.00036057
7,1618.06,0.01814,0.9975,1,0.00885,0.000289884,0.000289884,0.000289884
8,1845.91,0.02001,0.997,1,0.00863,0.000219198,0.000219198,0.000219198
9,2074.5,0.01333,0.997,1,0.00765,0.000148512,0.000148512,0.000148512
10,2302.43,0.0158,0.998,1,0.00529,7.7826e-05,7.7826e-05,7.7826e-05
