epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,864.211,0.15989,0.98185,1,0.05314,0.000237861,0.000237861,0.000237861
2,1730.83,0.06071,0.98478,1,0.04938,0.00042875,0.00042875,0.00042875
3,2594.23,0.04969,0.96956,1,0.08714,0.000572516,0.000572516,0.000572516
4,3442.52,0.047,0.96868,1,0.09768,0.000501942,0.000501942,0.000501942
5,4270.77,0.0347,0.97629,1,0.07413,0.000431256,0.000431256,0.000431256
6,5096.36,0.02785,0.97629,1,0.0841,0.00036057,0.00036057,0.00036057
7,5922.63,0.02541,0.9839,1,0.05162,0.000289884,0.000289884,0.000289884
8,9504.85,0.0191,0.98741,1,0.03557,0.000219198,0.000219198,0.000219198
9,11717.8,0.01684,0.98214,1,0.05895,0.000148512,0.000148512,0.000148512
10,12573.3,0.01465,0.98185,1,0.05935,7.7826e-05,7.7826e-05,7.7826e-05
